state,county,population,case_density
1,Adams County,517421,23.8
1,Alamosa County,16233,8.9
1,Arapahoe County,656590,20.6
1,Archuleta County,14029,11.2
1,Baca County,3581,7.0
1,Bent County,5577,23.1
1,Boulder County,326196,25.1
1,Broomfield County,70465,23.9
1,Chaffee County,20356,51.2
1,Cheyenne County,1831,0.0
1,Clear Creek County,9700,19.1
1,Conejos County,8205,19.2
1,Costilla County,3887,36.8
1,Crowley County,6061,11.8
1,Custer County,5068,19.7
1,Delta County,31162,18.7
1,Denver County,727211,27.1
1,Dolores County,2055,34.8
1,Douglas County,351154,20.8
1,Eagle County,55127,18.4
2,Alachua County,269043,6.1
2,Baker County,29210,1.2
2,Bay County,174705,0.0
2,Bradford County,28201,0.5
2,Brevard County,601942,6.3
2,Broward County,1952778,9.7
2,Calhoun County,14105,1.5
2,Charlotte County,188910,6.5
2,Citrus County,149657,2.3
2,Clay County,219252,0.9
2,Collier County,384902,0.0
2,Columbia County,71686,0.9
2,DeSoto County,38001,1.9
2,Dixie County,16826,0.4
2,Duval County,957755,4.2
2,Escambia County,318316,0.0
2,Flagler County,115081,4.7
2,Franklin County,12125,0.6
2,Gadsden County,45660,3.0
2,Gilchrist County,18582,1.5
1,Elbert County,26729,12.3
1,El Paso County,720403,19.3
1,Fremont County,47839,18.5
1,Garfield County,60061,20.2
1,Gilpin County,6243,13.7
1,Grand County,15734,22.7
1,Gunnison County,17462,23.7
1,Hinsdale County,820,0.0
1,Huerfano County,6897,7.2
1,Jackson County,1392,0.0
1,Jefferson County,582881,31.8
1,Kiowa County,1406,20.3
1,Kit Carson County,7097,12.1
1,Lake County,8127,5.3
1,La Plata County,56221,13.0
1,Larimer County,356899,26.4
1,Las Animas County,14506,27.6
1,Lincoln County,5701,16.7
1,Logan County,22409,9.6
1,Mesa County,154210,15.7
2,Glades County,13811,0.5
2,Gulf County,13639,0.5
2,Hamilton County,14428,1.0
2,Hardee County,26937,1.6
2,Hendry County,42022,1.2
2,Hernando County,193920,3.2
2,Highlands County,106221,4.6
2,Hillsborough County,1471968,0.0
2,Holmes County,19617,9.5
2,Indian River County,159923,5.5
2,Jackson County,46414,0.0
2,Jefferson County,14246,2.5
2,Lafayette County,8422,0.0
2,Lake County,367118,6.8
2,Lee County,770577,6.3
2,Leon County,293582,3.0
2,Levy County,41503,0.7
2,Liberty County,8354,1.7
2,Madison County,18493,1.2
2,Manatee County,403253,4.6
1,Mineral County,769,42.5
1,Moffat County,13283,8.6
1,Montezuma County,26183,10.6
1,Montrose County,42758,8.4
1,Morgan County,29068,7.9
1,Otero County,18278,7.8
1,Ouray County,4952,6.7
1,Park County,18845,12.9
1,Phillips County,4265,20.1
1,Pitkin County,17767,33.8
2,Marion County,365579,3.1
2,Martin County,161000,7.2
2,Miami-Dade County,2716940,14.5
2,Monroe County,74228,4.4
2,Nassau County,88625,3.1
2,Okaloosa County,210738,2.0
2,Okeechobee County,42168,1.9
2,Orange County,1393452,8.3
2,Osceola County,375751,9.8
2,Palm Beach County,1496770,0.0
