county,population
Adams County,517421
Alamosa County,16233
Arapahoe County,656590
Archuleta County,14029
Baca County,3581
Bent County,5577
Boulder County,326196
Broomfield County,70465
Chaffee County,20356
Cheyenne County,1831
Clear Creek County,9700
Conejos County,8205
Costilla County,3887
Crowley County,6061
Custer County,5068
Delta County,31162
Denver County,727211
Dolores County,2055
Douglas County,351154
Eagle County,55127
Elbert County,26729
El Paso County,720403
Fremont County,47839
Garfield County,60061
Gilpin County,6243
Alachua County,269043
Baker County,29210
Bay County,174705
Bradford County,28201
Brevard County,601942
Broward County,1952778
Calhoun County,14105
Charlotte County,188910
Citrus County,149657
Clay County,219252
Collier County,384902
Columbia County,71686
DeSoto County,38001
Dixie County,16826
Duval County,957755
Escambia County,318316
Flagler County,115081
Franklin County,12125
Gadsden County,45660
Gilchrist County,18582
Glades County,13811
Gulf County,13639
Hamilton County,14428
Hardee County,26937
Hendry County,42022
Grand County,15734
Gunnison County,17462
Hinsdale County,820
Huerfano County,6897
Jackson County,1392
Jefferson County,582881
Kiowa County,1406
Kit Carson County,7097
Lake County,8127
La Plata County,56221
Larimer County,356899
Las Animas County,14506
Lincoln County,5701
Logan County,22409
Mesa County,154210
Mineral County,769
Moffat County,13283
Montezuma County,26183
Montrose County,42758
Morgan County,29068
Otero County,18278
Ouray County,4952
Park County,18845
Phillips County,4265
Pitkin County,17767
Hernando County,193920
Highlands County,106221
Hillsborough County,1471968
Holmes County,19617
Indian River County,159923
Jackson County,46414
Jefferson County,14246
Lafayette County,8422
Lake County,367118
Lee County,770577
Leon County,293582
Levy County,41503
Liberty County,8354
Madison County,18493
Manatee County,403253
Marion County,365579
Martin County,161000
Miami-Dade County,2716940
Monroe County,74228
Nassau County,88625
Okaloosa County,210738
Okeechobee County,42168
Orange County,1393452
Osceola County,375751
Palm Beach County,1496770
