name,covid_impact
American Legion Post 10,1.3333333333333333
Attic Bar & Bistro,41.666666666666664
Avanti Food & Beverage,41.666666666666664
Barchetta,12.666666666666666
Black Cat Bistro,99.33333333333333
Bohemian Biergarten,92.0
Bramble & Hare,64.0
Caffè Sole,33.333333333333336
Dark Horse,128.66666666666666
Fox Theatre,27.0
Hookah house ,6.666666666666667
J & L Distilling Company,17.666666666666668
Leaf Vegetarian Restaurant,194.33333333333334
License No. 1,31.666666666666668
Mountain Sun Pub & Brewery,504.0
Murphy's - South,32.333333333333336
Outback Saloon,18.666666666666668
Pearl Street Pub and Cellar,38.333333333333336
Pizzeria Locale,235.66666666666666
Press Play,31.666666666666668
Rayback Collective,55.666666666666664
Roxie's Tacos,81.0
SALT the Bistro,233.33333333333334
Sundown Saloon,46.333333333333336
The Bitter Bar,60.0
Trident Booksellers and Cafe,67.0
Upstairs Cocktail Lounge,15.333333333333334
Via Toscana,68.66666666666667
eTown,3.0
