name,rating,city
The Bitter Bar,4.0,1
J & L Distilling Company,4.5,1
Dark Horse,4.0,1
Mountain Sun Pub & Brewery,4.5,1
Rayback Collective,4.0,1
Pearl Street Pub and Cellar,3.5,1
Sundown Saloon,3.0,1
License No. 1,3.5,1
Press Play,3.0,1
Attic Bar & Bistro,3.5,1
Bohemian Biergarten,4.0,1
Bramble & Hare,4.0,1
Avanti Food & Beverage,4.0,1
Upstairs Cocktail Lounge,4.0,1
Outback Saloon,3.5,1
Tap 42  - Coral Gables,4.0,2
Copper 29 Bar,4.0,2
Bryson's,4.0,2
Kush by Spillover,4.5,2
Copper Blues Rock Pub & Kitchen,3.5,2
Le Chick,4.5,2
Calle 23 Miami,4.0,2
Unseen Creatures Brewing,4.5,2
The Anderson,4.0,2
Wet Willie's,4.0,2
Duffy's Tavern,3.5,2
Seven Seas,3.5,2
Yardbird Table & Bar,4.5,2
Jada Coles,4.0,2
Tap 42 - Doral,4.0,2
CHICA Miami,4.0,2
Sam's Hideaway Tavern,4.5,2
Trident Booksellers and Cafe,4.0,1
Hookah house ,3.5,1
SALT the Bistro,3.5,1
Black Cat Bistro,4.5,1
eTown,4.0,1
Fox Theatre,3.5,1
Murphy's - South,3.5,1
Pizzeria Locale,4.0,1
Roxie's Tacos,4.5,1
Barchetta,4.5,1
Leaf Vegetarian Restaurant,4.0,1
Via Toscana,4.0,1
Caffè Sole,3.5,1
The Bend Liquor Lounge,4.0,2
Mama Tried,4.0,2
Lagniappe,4.5,2
Havana 1957 Cuban Cuisine Ocean Drive,4.0,2
Brick,3.5,2
Lost Boy,4.5,2
Batch Gastropub - Miami,4.0,2
Tacocraft Taqueria & Tequila Bar,4.0,2
Last Chance Bar & Package,4.0,2
Doc B's Restaurant + Bar,4.5,2
Area 31,3.5,2
Monty's Coconut Grove,3.0,2
Bacon Bitch,3.0,2
Kush,4.5,2
Happy Wine Calle Ocho,4.0,2
Kings Dining & Entertainment - Doral,4.0,2
Komodo,4.0,2
Happy Wine Calle Ocho,4.0,2
Kings Dining & Entertainment - Doral,4.0,2
Komodo,4.0,2
Basement,3.5,2
Spanglish Craft Cocktail Bar + Kitchen,4.5,2
No 3 Social,3.5,2
La Mesa Miami,3.5,2
Eddie's Place,4.0,2
Baby Jane,4.0,2
Black Point Ocean Grill,3.5,2
Pisco y Nazca Ceviche Gastrobar,4.5,2
Gramps,4.0,2
On the Rocks,4.0,2
Bacon Bitch,4.0,2
Famous Dave's - Doral,4.0,2
On the Rocks,4.0,2
Bacon Bitch,4.0,2
Famous Dave's - Doral,4.0,2
Exit One Taproom,4.5,2
Woodys West End Tavern,4.0,2
World of Beer,4.0,2
Casa Florida,3.5,2
Pueblito Viejo,3.5,2
The Scape Goat,4.5,2
Jaguar Sun,4.5,2
The Fatty Crab,4.5,2
Cafe La Trova,4.5,2
The Corner,4.0,2
Baru Doral,2.0,2
SALT Waterfront Restaurant,3.5,2
American Social,3.5,2
Mr. Wright's Gold Digger Saloon,4.5,2
SALT Waterfront Restaurant,3.5,2
American Social,3.5,2
Mr. Wright's Gold Digger Saloon,4.5,2
Rum Bar,4.0,2
The Oasis,3.5,2
MILA Restaurant,4.0,2
Dolores But You Can Call Me Lolita,4.0,2
Lokal,4.0,2
Catch Of The Day,3.5,2
Mojitos Cuban Cuisine,2.5,2
1-800-Lucky,4.0,2
Veni Vidi Vici Social Club,5.0,2
Las Rosas,4.5,2
Bru's Room Sports Grill,3.5,2
Sweet Caroline Karaoke Bar,4.5,2
Beaker & Gray,4.5,2
RedBar Brickell,3.5,2
